horizon,symbol,model,runs,direction_accuracy,mae,rmse,mape_pct,bias,avg_forecast_return_pct,avg_actual_return_pct,trade_rate,avg_signal_confidence
8,GOLD_M30_6MONTHS_CLEAN,mini,30,0.5333333333333333,21.627591796875024,24.58058067335316,0.4543552755299866,1.131849121093732,-0.0087258860446826,0.0195423511066335,0.3,0.55004
8,GOLD_M30_6MONTHS_CLEAN,small,30,0.5333333333333333,19.56578605143232,22.003182526783185,0.4141390969276218,4.283189860026024,0.1165964751064785,0.0195423511066335,0.3333333333333333,0.5997033333333334
8,US30CASH_M30_6MONTHS_CLEAN,mini,30,0.6,145.55461328124997,165.7769628804517,0.3058288765102626,-40.12943749999989,-0.0397477222270259,0.0785765169197986,0.4,0.57203
8,US30CASH_M30_6MONTHS_CLEAN,small,30,0.5666666666666667,147.46867903645835,168.0470557681845,0.3098189079395113,-28.45246809895822,0.0052635135749542,0.0785765169197986,0.1333333333333333,0.5357366666666666
16,GOLD_M30_6MONTHS_CLEAN,mini,30,0.5333333333333333,30.15754317220053,33.91376341445912,0.6351493247010311,0.7043546956380169,0.0334950736873747,0.0924419704104251,0.3666666666666666,0.6051300000000001
16,GOLD_M30_6MONTHS_CLEAN,small,30,0.6333333333333333,28.494735107421903,32.620266714998124,0.6054032035218417,2.364121337890621,0.0988505322424164,0.0924419704104251,0.5333333333333333,0.61385
16,US30CASH_M30_6MONTHS_CLEAN,mini,30,0.6333333333333333,174.98694856770828,210.18212856859563,0.366616982960256,-16.485600260416685,-0.0637811841527739,0.0766345336472966,0.4,0.5588733333333333
16,US30CASH_M30_6MONTHS_CLEAN,small,30,0.6333333333333333,176.36389322916662,208.18347677423992,0.3687632229093382,9.391206380208311,0.0609482170799591,0.0766345336472966,0.3333333333333333,0.58007
32,GOLD_M30_6MONTHS_CLEAN,mini,30,0.5,45.215130554199234,52.40511030701266,0.9504694252952086,17.535462341308577,0.298082929695986,-0.2397863130875447,0.5666666666666667,0.68141
32,GOLD_M30_6MONTHS_CLEAN,small,30,0.5333333333333333,46.58235768636069,55.17163469883933,0.9816405862160664,4.009162292480454,-0.0611825199719865,-0.2397863130875447,0.6666666666666666,0.6931633333333332
32,US30CASH_M30_6MONTHS_CLEAN,mini,30,0.4666666666666667,238.75526660156257,286.142467139253,0.4977904964429079,-15.677491210937516,-0.0675503414738876,0.0122069158450133,0.3333333333333333,0.5652233333333334
32,US30CASH_M30_6MONTHS_CLEAN,small,30,0.5,268.8739404296875,336.64984794501004,0.5598638120683773,-58.65190527343752,-0.1808680179314326,0.0122069158450133,0.2,0.5650533333333333
